,zip_code_tabulation_area,percent_owner,qrt_percent_owner,percent_rentburdened,qrt_percent_rentburdened,HH_value,qrt_HH_value,percent_snap,qrt_percent_snap,percent_poverty,qrt_percent_poverty,percent_employed,qrt_percent_employed,percent_lths,qrt_percent_lths,percent_noenglish,qrt_percent_noenglish,percent_black,qrt_percent_black,percent_latino,qrt_percent_latino,percent_aapi,qrt_percent_aapi,percent_other,qrt_percent_other,percent_noinsurance,qrt_percent_noinsurance,GINI_index,qrt_GINI_index
71,11357,0.689728646,Q4,0.426101988,Q2,722600,Q3,0.062098501,Q1,0.053182505,Q1,0.555844235,Q1,0.153498488,Q3,0.120166343,Q3,0.01329713,Q1,0.156799553,Q2,0.244474332,Q4,0.055243992,Q2,0.051526669,Q2,0.4246,Q1
72,11367,0.424554707,Q3,0.506645817,Q3,521800,Q2,0.155282966,Q3,0.145349561,Q3,0.573856372,Q2,0.148843878,Q2,0.158381348,Q4,0.087315262,Q2,0.170286602,Q2,0.293687966,Q4,0.065086029,Q2,0.060063199,Q2,0.4608,Q2
73,11369,0.413250422,Q3,0.704353933,Q4,598400,Q3,0.148420508,Q3,0.151992435,Q3,0.563241576,Q2,0.211721345,Q3,0.175752811,Q4,0.187541692,Q3,0.610050507,Q4,0.139957435,Q3,0.413296909,Q4,0.125609008,Q4,0.4256,Q1
74,11415,0.314660184,Q3,0.478164323,Q2,350800,Q1,0.079226823,Q2,0.101276596,Q2,0.653775205,Q4,0.069711368,Q1,0.108381826,Q3,0.08755492,Q2,0.251336615,Q3,0.177068445,Q3,0.120745328,Q3,0.061604585,Q2,0.4693,Q2
75,11418,0.40382328,Q3,0.546961326,Q4,560700,Q2,0.151370679,Q3,0.150343484,Q3,0.61063662,Q3,0.227602248,Q4,0.149185065,Q4,0.107329775,Q3,0.46103372,Q4,0.263976045,Q4,0.241531051,Q4,0.124721077,Q4,0.4238,Q1
76,11421,0.499639336,Q4,0.539604892,Q3,505900,Q2,0.148411118,Q3,0.103698473,Q2,0.608014878,Q3,0.238556679,Q4,0.169727496,Q4,0.063707546,Q2,0.590409929,Q4,0.214443286,Q3,0.325010303,Q4,0.105821004,Q4,0.4199,Q1
77,11432,0.362014847,Q3,0.594698627,Q4,616600,Q3,0.15419586,Q3,0.148290549,Q3,0.574411432,Q2,0.193723583,Q3,0.147385129,Q3,0.178432013,Q3,0.23586681,Q3,0.451562233,Q4,0.186130422,Q3,0.091376257,Q4,0.474,Q3
78,11375,0.468651063,Q3,0.458108954,Q2,438100,Q1,0.070232572,Q2,0.084314104,Q1,0.613971565,Q3,0.062901655,Q1,0.083198422,Q3,0.047429964,Q2,0.150162938,Q2,0.317441192,Q4,0.041405373,Q2,0.038776662,Q1,0.4669,Q2
79,11420,0.629355492,Q4,0.547955209,Q4,510500,Q2,0.136803597,Q2,0.107552359,Q2,0.598608828,Q2,0.239614156,Q4,0.059139785,Q2,0.285569834,Q3,0.250094797,Q3,0.359363809,Q4,0.20653044,Q4,0.06602302,Q3,0.422,Q1
80,11435,0.352356444,Q3,0.497397145,Q3,421400,Q1,0.146297571,Q3,0.134479996,Q3,0.623771857,Q3,0.228852054,Q4,0.178787605,Q4,0.262696083,Q3,0.313664961,Q3,0.248838185,Q4,0.313010653,Q4,0.100420317,Q4,0.4217,Q1
